1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,CRITICAL,OVEREXPLOITED,OVEREXPLOITED
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,KUDERU,,SEMICRITICAL,SEMICRITICAL
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,SEMICRITICAL,OVEREXPLOITED,OVEREXPLOITED
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,SEMICRITICAL,OVEREXPLOITED,OVEREXPLOITED
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,SEMICRITICAL,CRITICAL,OVEREXPLOITED
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,OVEREXPLOITED,,
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,OVEREXPLOITED,,
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,CRITICAL,,
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,CRITICAL,,
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,NARPALA,OVEREXPLOITED,SEMICRITICAL,SEMICRITICAL
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,CRITICAL,SEMICRITICAL,SEMICRITICAL
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,PAMIDI,CRITICAL,,
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,PARAGI,OVEREXPLOITED,CRITICAL,OVEREXPLOITED
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,PEDDA PAPPURU,SAFE,SAFE,SAFE
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,OVEREXPLOITED,OVEREXPLOITED,OVEREXPLOITED
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGURU,SEMICRITICAL,,
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,,CRITICAL,SEMICRITICAL
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,PUTLUR,OVEREXPLOITED,OVEREXPLOITED,OVEREXPLOITED
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTI,OVEREXPLOITED,,SEMICRITICAL
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,SEMICRITICAL,SEMICRITICAL,
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,RAPTADU,CRITICAL,CRITICAL,SEMICRITICAL
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,RAYADURG,OVEREXPLOITED,SEMICRITICAL,SEMICRITICAL
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,ROLLA,OVEREXPLOITED,OVEREXPLOITED,OVEREXPLOITED
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,RUDDAM,SEMICRITICAL,CRITICAL,CRITICAL
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,SETTURU,OVEREXPLOITED,SEMICRITICAL,
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,CRITICAL,,
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,CRITICAL,SEMICRITICAL,SEMICRITICAL
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,CRITICAL,OVEREXPLOITED,OVEREXPLOITED
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,TADPATRI,OVEREXPLOITED,OVEREXPLOITED,OVEREXPLOITED
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,TALUPULA,OVEREXPLOITED,SEMICRITICAL,CRITICAL
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,TANAKAL,,,SEMICRITICAL
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,CRITICAL,,
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,SAFE,SAFE,SAFE
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKALLU,SAFE,SAFE,SAFE
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,YADIKI,OVEREXPLOITED,OVEREXPLOITED,OVEREXPLOITED
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,YELLANUR,OVEREXPLOITED,OVEREXPLOITED,OVEREXPLOITED
1,INDIA,2,ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,OVEREXPLOITED,CRITICAL,SEMICRITICAL
1,INDIA,2,ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,SAFE,SAFE,SAFE
1,INDIA,2,ANDHRA PRADESH,CHITTOOR,BIRANGI KOTHAKOTA,SAFE,SAFE,SAFE
1,INDIA,2,ANDHRA PRADESH,CHITTOOR,BUTCHINAYUDUKANDRIGA,SAFE,SAFE,SAFE
1,INDIA,2,ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,SAFE,SAFE,SAFE
1,INDIA,2,ANDHRA PRADESH,CHITTOOR,CHENNAKESAVAPURAM,SAFE,SAFE,SAFE
